㐷	傌
馋	饞
馌	饁
馍	饃
馎	餺
馏	餾
馐	饈
馑	饉
馒	饅
馓	饊
馔	饌
馕	饢
马	馬
驭	馭
驮	馱
驯	馴
驰	馳
驱	驅
驲	馹
驳	駁
驴	驢
驵	駔
驶	駛
驷	駟
驸	駙
驹	駒
驺	騶
驻	駐
驼	駝
驽	駑
驾	駕
驿	驛
骀	駘
骁	驍
骂	罵
骃	駰
骄	驕
骅	驊
骆	駱
骇	駭
骈	駢
骉	驫
骊	驪
骋	騁
验	驗
骍	騂
骎	駸
骏	駿
骐	騏
骑	騎
骒	騍
骓	騅
骔	騌
骕	驌
骖	驂
骗	騙
骘	騭
骙	騤
骚	騷
骛	騖
骜	驁
骝	騮
骞	騫
骟	騸
骠	驃
骡	騾
骢	驄
骣	驏
骤	驟
骥	驥
骦	驦
骧	驤
髅	髏
髋	髖
髌	髕
鬓	鬢
鬶	鬹
魇	魘
魉	魎
鱼	魚
鱽	魛
鱾	魢
鱿	魷
鲀	魨
鲁	魯
鲂	魴
鲃	䰾
鲄	魺
鲅	鮁
鲆	鮃
鲇	鮎
鲈	鱸
鲉	鮋
鲊	鮓
鲋	鮒
鲌	鮊
鲍	鮑
鲎	鱟
鲏	鮍
鲐	鮐
鲑	鮭
鲒	鮚
鲓	鮳
鲔	鮪
鲕	鮞
鲖	鮦
鲗	鰂
鲘	鮜
鲙	鱠
鲚	鱭
鲛	鮫
鲜	鮮
鲝	鮺
鲞	鯗
鲟	鱘
鲠	鯁
鲡	鱺
鲢	鰱
鲣	鰹
鲤	鯉
鲥	鰣
鲦	鰷
鲧	鯀
鲨	鯊
鲩	鯇
鲪	鮶
鲫	鯽
鲬	鯒
鲭	鯖
鲮	鯪
鲯	鯕
鲰	鯫
鲱	鯡
鲲	鯤
鲳	鯧
鲴	鯝
鲵	鯢
鲶	鯰
鲷	鯛
鲸	鯨
鲹	鰺
鲺	鯴
鲻	鯔
鲼	鱝
鲽	鰈
鲾	鰏
鲿	鱨
鳀	鯷
鳁	鰮
鳂	鰃
鳃	鰓
鳄	鱷
鳅	鰍
鳆	鰒
鳇	鰉
鳈	鰁
鳉	鱂
鳊	鯿
鳋	鰠
鳌	鰲
鳍	鰭
鳎	鰨
鳏	鰥
鳐	鰩
鳑	鰟
鳒	鰜
鳓	鰳
鳔	鰾
鳕	鱈
鳖	鱉
鳗	鰻
鳘	鰵
鳙	鱅
鳚	䲁
鳛	鰼
鳜	鱖
鳝	鱔
鳞	鱗
鳟	鱒
鳠	鱯
鳡	鱤
鳢	鱧
鳣	鱣
鳤	䲘
鸟	鳥
鸠	鳩
鸡	雞
鸢	鳶
鸣	鳴
鸤	鳲
鸥	鷗
鸦	鴉
鸧	鶬
鸨	鴇
鸩	鴆
鸪	鴣
鸫	鶇
鸬	鸕
鸭	鴨
鸮	鴞
鸯	鴦
鸰	鴒
鸱	鴟
鸲	鴝
鸳	鴛
鸴	鷽
鸵	鴕
鸶	鷥
鸷	鷙
鸸	鴯
鸹	鴰
鸺	鵂
鸻	鴴
鸼	鵃
鸽	鴿
鸾	鸞
鸿	鴻
鹀	鵐
鹁	鵓
鹂	鸝
鹃	鵑
鹄	鵠
鹅	鵝
鹆	鵒
鹈	鵜
鹉	鵡
鹊	鵲
鹋	鶓
鹌	鵪
鹍	鵾
鹎	鵯
鹏	鵬
鹐	鵮
鹑	鶉
鹒	鶊
鹓	鵷
鹔	鷫
鹕	鶘
鹖	鶡
鹗	鶚
鹘	鶻
鹙	鶖
鹚	鷀
鹛	鶥
鹜	鶩
鹝	鷊
鹞	鷂
鹟	鶲
鹠	鶹
鹡	鶺
鹢	鷁
鹣	鶼
鹤	鶴
鹥	鷖
鹦	鸚
鹧	鷓
鹨	鷚
鹩	鷯
鹪	鷦
鹫	鷲
鹬	鷸
鹭	鷺
鹮	䴉
鹯	鸇
鹰	鷹
鹱	鸌
鹲	鸏
鹳	鸛
鹴	鸘
鹾	鹺
麦	麥
麸	麩
麹	麴
麺	麪
麽	麼
黄	黃
黉	黌
黡	黶
黩	黷
黪	黲
黾	黽
鼋	黿
鼌	鼂
鼍	鼉
鼹	鼴
齐	齊
齑	齏
齿	齒
龀	齔
龁	齕
龂	齗
龃	齟
龄	齡
龅	齙
龆	齠
龇	齜
龈	齦
龉	齬
龊	齪
龋	齲
龌	齷
龙	龍
龚	龔
龛	龕
龟	龜
鿎	䃮
鿏	䥑
鿒	鿓
鿔	鎶
𠀾	𠁞
𠆲	儣
𠆿	𠌥
𠇹	俓
𠉂	㒓
𠉗	𠏢
𠋆	儭
𠚳	𠠎
𠛅	剾
𠛆	𠞆
𠛾	𪟖
𠡠	勑
𠮶	嗰
𠯟	哯
𠯠	噅
𠰱	㘉
𠰷	嚧
𠱞	囃
𠲥	𡅏
𠴛	𡃕
𠴢	𡄔
𠵸	𡄣
𠵾	㗲
𡋀	𡓾
𡋗	𡑭
𡋤	壗
𡍣	𡔖
𡒄	壈
𡝠	㜷
𡞋	㜗
𡞱	㜢
𡠟	孎
𡥧	孻
𡭜	𡮉
𡭬	𡮣
𡳃	𡳳
𡳒	𦘧
𡶴	嵼
𡸃	𡽗
𡺃	嶈
𡺄	嶘
𢋈	㢝
𢗓	㦛
𢘙	𢤱
𢘝	𢣚
𢘞	𢣭
𢙏	愻
𢙐	憹
𢙑	𢠼
𢙒	憢
𢙓	懀
𢛯	㦎
𢠁	懎
𢢐	𤢻
𢧐	戰
𢫊	𢷮
𢫞	𢶫
𢫬	摋
𢬍	擫
𢬦	𢹿
𢭏	擣
𢽾	斅
𣃁	斸
𣆐	曥
𣈣	𣋋
𣍨	𦢈
𣍯	腪
𣍰	脥
𣎑	臗
𣏢	槫
𣐕	桱
𣐤	欍
𣑶	𣠲
𣒌	楇
𣓿	橯
𣔌	樤
𣗊	樠
𣗋	欓
𣗙	㰙
𣘐	㯤
𣘓	𣞻
𣘴	檭
𣘷	𣝕
𣚚	欘
𣞎	𣠩
𣨼	殢
𣭤	𣯴
𣯣	𣯩
𣱝	氭
𣲗	湋
𣲘	潕
𣳆	㵗
𣶩	澅
𣶫	𣿉
𣶭	𪷓
𣷷	𤅶
𣸣	濆
𣺼	灙
𣺽	𤁣
𣽷	瀃
𤆡	熓
𤆢	㷍
𤇃	爄
𤇄	熌
𤇭	爖
𤇹	熚
𤈶	熉
𤈷	㷿
𤊀	𤒎
𤊰	𤓩
𤋏	熡
𤎺	𤓎
𤎻	𤑳
𤙯	𤛮
𤝢	𤢟
𤞃	獩
𤞤	玁
𤠋	㺏
𤦀	瓕
𤩽	瓛
𤳄	𤳸
𤶊	癐
𤶧	𤸫
𤻊	㿗
𤽯	㿧
𤾀	皟
𤿲	麬
𥁢	䀉
𥅘	𥌃
𥅴	䀹
𥅿	𥊝
𥆧	瞤
𥇢	䁪
𥎝	䂎
𥐟	礒
𥐯	𥖅
𥐰	𥕥
𥐻	碙
𥞦	𥞵
𥧂	𥨐
𥩟	竚
𥩺	𥪂
𥫣	籅
𥬀	䉙
𥬞	籋
𥬠	篘
𥭉	𥵊
𥮋	𥸠
𥮜	䉲
𥮾	篸
𥱔	𥵃
𥹥	𥼽
𥺅	䊭
𥺇	𥽖
𦈈	𥿊
𦈉	緷
𦈋	綇
𦈌	綀
𦈎	繟
𦈏	緍
𦈐	縺
𦈑	緸
𦈒	𦂅
𦈓	䋿
𦈔	縎
𦈕	緰
𦈖	䌈
𦈗	𦃄
𦈘	䌋
𦈙	䌰
𦈚	縬
𦈛	繓
𦈜	䌖
𦈝	繏
𦈞	䌟
𦈟	䌝
𦈠	䌥
𦈡	繻
𦍠	䍽
𦛨	朥
𦝼	膢
𦟗	𦣎
𦨩	𦪽
𦰏	蓧
𦰴	䕳
𦶟	爇
𦶻	𦾟
𦻕	蘟
𧉐	𧕟
𧉞	䗿
𧌥	𧎈
𧏖	蠙
𧏗	蠀
𧑏	蠾
𧒭	𧔥
𧜭	䙱
𧝝	襰
𧝧	𧟀
𧮪	詀
𧳕	𧳟
𧹑	䞈
𧹒	買
𧹓	𧶔
𧹔	賬
𧹕	䝻
𧹖	賟
𧹗	贃
𧿈	𨇁
𨀁	躘
𨀱	𨄣
𨁴	𨅍
𨂺	𨈊
𨄄	𨈌
𨅛	䠱
𨅫	𨇞
𨅬	躝
𨉗	軉
𨐅	軗
𨐆	𨊻
𨐇	𨏠
𨐈	輄
𨐉	𨎮
𨐊	𨏥
𨑹	䢨
𨟳	𨣞
𨠨	𨣧
𨡙	𨢿
𨡺	𨣈
𨤰	𨤻
𨰾	鎷
𨰿	釳
𨱀	𨥛
𨱁	鈠
𨱂	鈋
𨱃	鈲
𨱄	鈯
𨱅	鉁
𨱆	龯
𨱇	銶
𨱈	鋉
𨱉	鍄
𨱊	𨧱
𨱋	錂
𨱌	鏆
𨱍	鎯
𨱎	鍮
𨱏	鎝
𨱐	𨫒
𨱑	鐄
𨱒	鏉
𨱓	鐎
𨱔	鐏
𨱕	𨮂
𨱖	䥩
𨷿	䦳
𨸀	𨳕
𨸁	𨳑
𨸂	閍
𨸃	閐
𨸄	䦘
𨸅	𨴗
𨸆	𨵩
𨸇	𨵸
𨸉	𨶀
𨸊	𨶏
𨸋	𨶲
𨸌	𨶮
𨸎	𨷲
𨸘	𨽏
𨸟	䧢
𩏼	䪏
𩏽	𩏪
𩏾	𩎢
𩏿	䪘
𩐀	䪗
𩓋	顂
𩖕	𩓣
𩖖	顃
𩖗	䫴
𩙥	颰
𩙦	𩗀
𩙧	䬞
𩙨	𩘹
𩙩	𩘀
𩙪	颷
𩙫	颾
𩙬	𩘺
𩙭	𩘝
𩙮	䬘
𩙯	䬝
𩙰	𩙈
𩟿	𩚛
𩠀	𩚥
𩠁	𩚵
𩠂	𩛆
𩠃	𩛩
𩠅	𩟐
𩠆	𩜦
𩠇	䭀
𩠈	䭃
𩠉	𩜇
𩠊	𩜵
𩠋	𩝔
𩠌	餸
𩠎	𩞄
𩠏	𩞦
𩠠	𩠴
𩡖	𩡣
𩧦	𩡺
𩧨	駎
𩧩	𩤊
𩧪	䮾
𩧫	駚
𩧬	𩢡
𩧭	䭿
𩧮	𩢾
𩧯	驋
𩧰	䮝
𩧱	𩥉
𩧲	駧
𩧳	𩢸
𩧴	駩
𩧵	𩢴
𩧶	𩣏
𩧸	𩣫
𩧺	駶
𩧻	𩣵
𩧼	𩣺
𩧿	䮠
𩨀	騔
𩨁	䮞
𩨂	驄
𩨃	騝
𩨄	騪
𩨅	𩤸
𩨆	𩤙
𩨇	䮫
𩨈	騟
𩨉	𩤲
𩨊	騚
𩨋	𩥄
𩨌	𩥑
𩨍	𩥇
𩨎	龭
𩨏	䮳
𩨐	𩧆
𩩈	䯤
𩬣	𩭙
𩬤	𩰀
𩭹	鬖
𩯒	𩯳
𩰰	𩰹
𩲒	𩳤
𩴌	𩴵
𩽹	魥
𩽺	𩵩
𩽻	𩵹
𩽼	鯶
𩽽	𩶱
𩽾	鮟
𩽿	𩶰
𩾁	鯄
𩾂	䲖
𩾃	鮸
𩾄	𩷰
𩾅	𩸃
𩾆	𩸦
𩾇	鯱
𩾈	䱙
𩾊	䱬
𩾋	䱰
𩾌	鱇
𩾎	𩽇
𪉂	䲰
𪉃	鳼
𪉄	𩿪
𪉅	𪀦
𪉆	鴲
𪉈	鴜
𪉉	𪁈
𪉊	鷨
𪉋	𪀾
𪉌	𪁖
𪉍	鵚
𪉎	𪂆
𪉏	𪃏
𪉐	𪃍
𪉑	鷔
𪉒	𪄕
𪉔	𪄆
𪉕	𪇳
𪎈	䴬
𪎉	麲
𪎊	麨
𪎋	䴴
𪎌	麳
𪑅	䵳
𪔭	𪔵
𪚏	𪘀
𪚐	𪘯
𪜎	𠿕
𪞝	凙
𪟎	㔋
𪟝	勣
𪠀	𧷎
𪠟	㓄
𪠡	𠬙
𪠳	唓
𪠵	㖮
𪠸	嚛
𪠺	𠽃
𪠽	噹
𪡀	嘺
𪡃	嘪
𪡋	噞
𪡏	嗹
𪡛	㗿
𪡞	嘳
𪡺	𡃄
𪢌	㘓
𪢐	𡃤
𪢒	𡂡
𪢕	嚽
𪢖	𡅯
𪢠	囒
𪢮	圞
𪢸	墲
𪣆	埬
𪣒	堚
𪣻	塿
𪤄	𡓁
𪤚	壣
𪥠	𧹈
𪥫	孇
𪥰	嬣
𪥿	嬻
𪧀	孾
𪧘	寠
𪨊	㞞
𪨗	屩
𪨧	崙
𪨩	𡸗
𪨶	輋
𪨷	巗
𪨹	𡹬
𪩇	㟺
𪩎	巊
𪩘	巘
𪩛	𡿖
𪩷	幝
𪩸	幩
𪪏	廬
𪪑	㢗
𪪞	廧
𪪴	𢍰
𪪼	彃
𪫌	徿
𪫡	𢤩
𪫷	㦞
𪫺	憸
𪬚	𢣐
𪬯	𢤿
𪭝	𢯷
𪭢	摐
𪭧	擟
𪭯	𢶒
𪭵	掚
𪭾	撊
𪮃	㨻
𪮋	㩋
𪮖	撧
𪮳	𢺳
𪮶	攋
𪯋	㪎
𪰶	曊
𪱥	膹
𪱷	梖
𪲎	櫅
𪲔	欐
𪲛	檵
𪲮	櫠
𪳍	欇
𪳗	𣜬
𪴙	欑
𪵑	毊
𪵣	霼
𪵱	濿
𪶄	溡
𪶒	𤄷
𪶮	𣽏
𪷍	㵾
𪷽	灒
𪸕	熂
𪸩	煇
𪹀	𤑹
𪹠	𤓌
𪹳	爥
𪹹	𤒻
𪺣	𤘀
𪺪	𤜆
𪺭	犞
𪺷	獊
𪺸	𤠮
𪺻	㺜
𪺽	猌
𪻐	瑽
𪻨	瓄
𪻲	瑻
𪻺	璝
𪼋	㻶
𪼴	𤬅
𪽈	畼
𪽝	𤳷
𪽪	痮
𪽭	𤷃
𪽮	㿖
𪽴	𤺔
𪽷	瘱
𪾔	盨
𪾢	睍
𪾣	眝
𪾦	矑
𪾸	矉
𪿊	𥏝
𪿞	𥖲
𪿫	礮
𪿵	𥗇
𫀌	𥜰
𫀓	𥜐
𫀨	䅐
𫀬	䅳
𫀮	𥢷
𫁂	䆉
𫁟	竱
𫁡	鴗
𫁱	𥶽
𫁲	䉑
𫁳	𥯤
𫁷	䉶
𫁺	𥴼
𫂃	簢
𫂆	簂
𫂈	䉬
𫂖	𥴨
𫂿	𥻦
𫃗	𩏷
𫄙	糺
𫄚	䊺
𫄛	紟
𫄜	䋃
𫄝	𥾯
𫄞	䋔
𫄟	絁
𫄠	絙
𫄡	絧
𫄢	絥
𫄣	繷
𫄤	繨
𫄥	纚
𫄦	𦀖
𫄧	綖
𫄨	絺
𫄩	䋦
𫄪	𦅇
𫄫	綟
𫄬	緤
𫄭	緮
𫄮	䋼
𫄯	𦃩
𫄰	縍
𫄱	繬
𫄲	縸
𫄳	縰
𫄴	繂
𫄵	𦅈
𫄶	繈
𫄷	繶
𫄸	纁
𫄹	纗
𫅅	䍤
𫅗	羵
𫅥	𦒀
𫅭	䎙
𫅼	𦔖
𫆏	聻
𫆝	𦟼
𫆫	𦡝
𫇘	𦧺
𫇛	艣
𫇪	𦱌
𫇭	蔿
𫇴	蒭
𫇽	蕽
𫈉	蕳
𫈎	葝
𫈟	蔯
𫈵	蕝
𫉁	薆
𫉄	藷
𫊪	䗅
𫊮	蠦
𫊸	蟜
𫊹	𧒯
𫊻	蟳
𫋇	蟂
𫋌	蟘
𫋲	䙔
𫋷	襗
𫋹	襓
𫋻	襘
𫌀	襀
𫌇	襵
𫌋	𧞫
𫌨	覼
𫌪	覛
𫌫	𧡴
𫌬	𧢄
𫌭	覹
𫌯	䚩
𫍐	𧭹
𫍙	訑
𫍚	訞
𫍛	訜
𫍜	詓
𫍝	諫
𫍞	𧦝
𫍟	𧦧
𫍠	䛄
𫍡	詑
𫍢	譊
𫍣	詷
𫍤	譑
𫍥	誂
𫍦	譨
𫍧	誺
𫍨	誫
𫍩	諣
𫍪	誋
𫍫	䛳
𫍬	誷
𫍭	𧩕
𫍮	誳
𫍯	諴
𫍰	諰
𫍱	諯
𫍲	謏
𫍳	諥
𫍴	謱
𫍵	謸
𫍶	𧩼
𫍷	謉
𫍸	謆
𫍹	謯
𫍺	𧫝
𫍻	譆
𫍼	𧬤
𫍽	譞
𫍾	𧭈
𫍿	譾
𫎆	豵
𫎌	貗
𫎦	贚
𫎧	䝭
𫎨	𧸘
𫎩	賝
𫎪	䞋
𫎫	贉
𫎬	贑
𫎭	䞓
𫎱	䟐
𫎳	䟆
𫎸	𧽯
𫎺	䟃
𫏃	䠆
𫏆	蹳
𫏋	蹻
𫏌	𨂐
𫏐	蹔
𫏑	𨇽
𫏕	𨆪
𫏞	𨇰
𫏨	𨇤
𫐄	軏
𫐅	軕
𫐆	轣
𫐇	軜
𫐈	軷
𫐉	軨
𫐊	軬
𫐋	𨎌
𫐌	軿
𫐍	𨌈
𫐎	輢
𫐏	輖
𫐐	輗
𫐑	輨
𫐒	輷
𫐓	輮
𫐔	𨍰
𫐕	轊
𫐖	轇
𫐗	轐
𫐘	轗
𫐙	轠
𫐷	遱
𫑘	鄟
𫑡	鄳
𫑷	醶
𫓥	釟
𫓦	釨
𫓧	鈇
𫓨	鈛
𫓩	鏦
𫓪	鈆
𫓫	𨥟
𫓬	鉔
𫓭	鉠
𫓮	𨪕
𫓯	銈
𫓰	銊
𫓱	鐈
𫓲	銁
𫓳	𨰋
𫓴	鉾
𫓵	鋠
𫓶	鋗
𫓷	𫒡
𫓸	錽
𫓹	錤
𫓺	鐪
𫓻	錜
𫓼	𨨛
𫓽	錝
𫓾	錥
𫓿	𨨢
𫔀	鍊
𫔁	鐼
𫔂	鍉
𫔃	𨰲
𫔄	鍒
𫔅	鎍
𫔆	䥯
𫔇	鎞
𫔈	鎙
𫔉	𨰃
𫔊	鏥
𫔋	䥗
𫔌	鏾
𫔍	鐇
𫔎	鐍
𫔏	𨬖
𫔐	𨭸
𫔑	𨭖
𫔒	𨮳
𫔓	𨯟
𫔔	鑴
𫔕	𨰥
𫔖	𨲳
𫔭	開
𫔮	閒
𫔯	閗
𫔰	閞
𫔲	𨴹
𫔴	閵
𫔵	䦯
𫔶	闑
𫔽	𨼳
𫕚	𩀨
𫕥	霣
𫕨	𩅙
𫖃	靧
𫖅	䪊
𫖇	鞾
𫖑	𩎖
𫖒	韠
𫖓	𩏂
𫖔	韛
𫖕	韝
𫖖	𩏠
𫖪	𩑔
𫖫	䪴
𫖬	䪾
𫖭	𩒎
𫖮	顗
𫖯	頫
𫖰	䫂
𫖱	䫀
𫖲	䫟
𫖳	頵
𫖴	𩔳
𫖵	𩓥
𫖶	顅
𫖷	𩔑
𫖸	願
𫖹	顣
𫖺	䫶
𫗇	䫻
𫗈	𩗓
𫗉	𩗴
𫗊	䬓
𫗋	飋
𫗚	𩟗
𫗞	飦
𫗟	䬧
𫗠	餦
𫗡	𩚩
𫗢	飵
𫗣	飶
𫗤	𩛌
𫗥	餫
𫗦	餔
𫗧	餗
𫗨	𩛡
𫗩	饠
𫗪	餧
𫗫	餬
𫗬	餪
𫗭	餵
𫗮	餭
𫗯	餱
𫗰	䭔
𫗱	䭑
𫗳	𩝽
𫗴	饘
𫗵	饟
𫘛	馯
𫘜	馼
𫘝	駃
𫘞	駞
𫘟	駊
𫘠	駤
𫘡	駫
𫘣	駻
𫘤	騃
𫘥	騉
𫘦	騊
𫘧	騄
𫘨	騠
𫘩	騜
𫘪	騵
𫘫	騴
𫘬	騱
𫘭	騻
𫘮	䮰
𫘯	驓
𫘰	驙
𫘱	驨
𫘽	鬠
𫙂	𩯁
𫚈	鱮
𫚉	魟
𫚊	鰑
𫚋	鱄
𫚌	魦
𫚍	魵
𫚎	𩶁
𫚏	䱁
𫚐	䱀
𫚑	鮅
𫚒	鮄
𫚓	鮤
𫚔	鮰
𫚕	鰤
𫚖	鮆
𫚗	鮯
𫚘	𩻮
𫚙	鯆
𫚚	鮿
𫚛	鮵
𫚜	䲅
𫚝	𩸄
𫚞	鯬
𫚟	𩸡
𫚠	䱧
𫚡	鯞
𫚢	鰋
𫚣	鯾
𫚤	鰦
𫚥	鰕
𫚦	鰫
𫚧	鰽
𫚨	𩻗
𫚩	𩻬
𫚪	鱊
𫚫	鱢
𫚬	𩼶
𫚭	鱲
𫛚	鳽
𫛛	鳷
𫛜	鴀
𫛝	鴅
𫛞	鴃
𫛟	鸗
𫛠	𩿤
𫛡	鴔
𫛢	鸋
𫛣	鴥
𫛤	鴐
𫛥	鵊
𫛦	鴮
𫛧	𪀖
𫛨	鵧
𫛩	鴳
𫛪	鴽
𫛫	鶰
𫛬	䳜
𫛭	鵟
𫛮	䳤
𫛯	鶭
𫛰	䳢
𫛱	鵫
𫛲	鵰
𫛳	鵩
𫛴	鷤
𫛵	鶌
𫛶	鶒
𫛷	鶦
𫛸	鶗
𫛹	𪃧
𫛺	䳧
𫛻	𪃒
𫛼	䳫
𫛽	鷅
𫛾	𪆷
𫜀	鷐
𫜁	鷩
𫜂	𪅂
𫜃	鷣
𫜄	鷷
𫜅	䴋
𫜊	𪉸
𫜑	麷
𫜒	䴱
𫜓	𪌭
𫜔	䴽
𫜕	𪍠
𫜙	䵴
𫜟	𪓰
𫜨	䶕
𫜩	齧
𫜪	齩
𫜫	𫜦
𫜬	齰
𫜭	齭
𫜮	齴
𫜯	𪙏
𫜰	齾
𫜲	龓
𫜳	䶲
𫝈	㑮
𫝋	𠐊
𫝦	㛝
𫝧	㜐
𫝨	媈
𫝩	嬦
𫝪	𡟫
𫝫	婡
𫝬	嬇
𫝭	孆
𫝮	孄
𫝵	嶹
𫞅	𦠅
𫞗	潣
𫞚	澬
𫞛	㶆
𫞝	灍
𫞠	爧
𫞡	爃
𫞢	𤛱
𫞣	㹽
𫞥	珼
𫞦	璾
𫞧	𤩂
𫞨	璼
𫞩	璊
𫞷	𥢶
𫟃	絍
𫟄	綋
𫟅	綡
𫟆	緟
𫟇	𦆲
𫟑	䖅
𫟕	䕤
𫟞	訨
𫟟	詊
𫟠	譂
𫟡	誴
𫟢	䜖
𫟤	䡐
𫟥	䡩
𫟦	䡵
𫟫	𨞺
𫟬	𨟊
𫟲	釚
𫟳	釲
𫟴	鈖
𫟵	鈗
𫟶	銏
𫟷	鉝
𫟸	鉽
𫟹	鉷
𫟺	䤤
𫟻	銂
𫟼	鐽
𫟽	𨧰
𫟾	𨩰
𫟿	鎈
𫠀	䥄
𫠁	鑉
𫠂	閝
𫠅	韚
𫠆	頍
𫠇	𩖰
𫠈	䫾
𫠊	䮄
𫠋	騼
𫠌	𩦠
𫠏	𩵦
𫠐	魽
𫠑	䱸
𫠒	鱆
𫠖	𩿅
𫠜	齯
𫢸	僤
𫧃	𣍐
𫧮	𪋿
𫬐	㘔
𫮃	墠
𫰛	娙
𫶇	嵽
𫷷	廞
𫸩	彄
𬀩	暐
𬬭	錀
𬬻	鑪
𬭊	𨧀
𬭛	𨨏
𬭭	鏚
𬭳	𨭎
𬭶	𨭆
𬶋	鮈
𬶍	鮀
𬶏	鮠
𬶟	鯻
𬸪	鷭
𬸯	鷿
𰬸	繐
𰰨	菕
𰶎	譅
𰾄	鋂
𰾭	鑀
𱊜	𪈼
当	當
种	種
个	個
价	價
发	發
万	萬
勋	勳
卤	滷
厂	廠
历	曆
发	發
㐹	㑶
叶	葉
叹	歎
吁	籲
哗	嘩
啮	咬
团	團
坛	壇
埙	壎
复	復
娴	嫺
宁	寧
尝	嘗
尽	盡
帘	簾
广	廣
弥	彌
当	當
愿	願
挂	掛
党	黨
万	萬
个	個
仑	倫
涌	湧
淀	澱
朴	樸
滟	灩
皁	皂
榘	矩
翫	玩
摆	擺
术	術
极	極
炼	煉
种	種
签	簽
纤	纖
绱	緔
绷	繃
脏	髒
艳	豔
苏	蘇
苹	蘋
荐	薦
荡	蕩
荫	蔭
药	藥
获	獲
蚝	蠔
蜡	蠟
袅	裊
裥	襇
证	證
谥	謚
赝	贗
赞	贊
适	適
鉴	鑑
针	針
钟	鐘
钥	鑰
钫	鈁
钻	鑽
铲	鏟
闲	閒
鹇	鷳
链	鏈
锫	錇
镋	钂
镎	鎿
镢	鐝
镰	鐮
须	須
饥	飢
汇	匯
恶	惡
栄	榮
